iata_to,state_id,state_name,latitude,longitude
11801,OR,Oregon,45.1153,-123.2033
11802,IN,Indiana,40.8642,-86.8787
11803,CA,California,34.6589,-118.3785
11804,WV,West Virginia,40.1648,-80.5972
11805,MA,Massachusetts,42.5439,-71.6146
11806,PA,Pennsylvania,40.9267,-75.4017
11807,IL,Illinois,42.2846,-87.8793
11808,PR,Puerto Rico,17.9964,-66.0515
11809,IN,Indiana,41.4143,-85.8446
11810,IL,Illinois,38.6719,-90.1690
11811,AK,Alaska,59.2416,-135.4549
11812,IA,Iowa,41.5954,-93.2393
11813,TX,Texas,33.5594,-96.9070
11814,IN,Indiana,41.2379,-86.2523
11815,MD,Maryland,38.4568,-76.4737
11816,NJ,New Jersey,39.5929,-74.8424
11817,NJ,New Jersey,40.8762,-74.5435
11818,MD,Maryland,38.8872,-76.3476
11819,MS,Mississippi,34.0852,-88.6248
11820,WV,West Virginia,38.9876,-81.9656
11821,OH,Ohio,41.4509,-81.6628
