origin,destination,count
1,4766,4
1,4788,2
1,4837,3
1,5078,2
1,5400,1
1,5617,1
1,5663,1
1,6128,8
1,7132,2
1,8342,3
1,8376,3
1,8400,71
1,9318,1
1,9416,2
1,11062,1
1,11351,2
1,11486,3
1,12297,3
1,14777,10
1,14778,10
1,15169,6
1,15802,1
1,17465,4
1,17506,4
1,18182,1
1,18229,3
1,20773,8
1,22011,1
1,25956,2
1,34104,4
1,35315,6
1,36727,2
1,39386,1
2,209,26
2,1312,83
2,2552,1
2,3561,18
2,4323,4
2,4766,1
2,5617,11
2,6106,1
2,6342,36
2,6364,3
2,6478,12
2,7018,931
2,7065,1
2,7132,3
2,7377,77
2,9506,22
2,11414,17
2,18182,1
2,19918,351
2,25767,5
2,29863,2
3,4134,1
3,4766,1
3,5400,1
3,6342,2
3,11062,2
3,12297,1
3,17429,1
3,18229,1
3,20773,2
3,25956,5
3,34104,1
4,4766,1
4,7132,15
4,8400,70
4,11062,1
4,14778,2
4,18229,3
4,20773,3
4,22855,28
4,31976,84
4,33651,118
4,35315,2
5,2152,2
5,3561,2
5,4134,1
5,4766,1
5,8070,5
5,8075,5
5,11062,6
5,12297,2
5,13867,2
5,18229,2
5,20773,2
5,25956,2
5,34104,2
6,4134,1
6,4713,1
6,4766,1
6,4837,1
6,8400,1
6,11062,6
6,12297,2
6,18182,2
6,18229,2
6,20773,2
6,25956,2
6,34104,2
7,3,2
7,209,3
7,1239,14
7,2152,29
7,2914,2
7,3561,13
7,3701,3
7,5067,10
7,6432,9
7,8070,6
7,8560,2
7,9156,11
7,10565,11
7,10910,9
7,11115,83
7,12182,2
7,12222,5
7,15169,78
7,17210,37
7,17225,5
7,17358,4
7,18924,48
7,19024,3
7,19306,10
7,19535,12
7,21844,20
7,22822,1
7,23504,2
7,25751,2
7,32313,5
7,33419,7
7,34104,2
7,36347,25
7,36561,14
8,209,3
8,553,7
8,559,3
8,701,20
8,1668,8
8,3356,2
8,3561,6
8,3701,4
8,5617,1
8,5662,27
8,6453,4
8,8070,2
8,9457,1
8,10763,2
8,11486,30
8,12168,2
8,12222,15
8,15169,339
8,16509,13
8,24587,1
8,30060,2
8,30315,2
8,34104,1
9,18,4
9,102,145
9,209,14
9,1213,4
9,2152,130
9,2637,1
9,2701,2
9,3356,9
9,3561,10
9,5779,62
9,6130,2
9,6432,23
9,6939,1
9,7224,9
9,7324,1
9,7349,1
9,7859,4
9,8070,7
9,10565,1
9,10933,3
9,11266,96
9,12168,10
9,12222,7
9,13593,2
9,14780,143
9,15169,801
9,16509,3
9,16966,5
9,17052,1
9,17225,20
9,17232,13
9,23516,1
9,26062,8
9,26101,29
9,26201,8
9,26228,1
9,26978,4
9,29960,1
9,33419,3
9,33694,2
9,36088,89
0,205,1
0,209,1
0,1221,1
0,2518,1
0,2914,1
0,3257,1
0,3269,1
0,3356,1
0,3549,1
0,3561,35
0,3671,75
0,4134,15
0,4323,1
0,4755,1
0,5617,2
0,6327,1
0,6432,1
0,6496,2
0,6740,1
0,6939,1
0,7132,1
0,7643,1
0,7738,1
0,8151,1
0,8732,1
0,9121,1
0,9304,1
0,9808,1
0,11426,1
0,11486,1
0,12262,1
0,13367,1
0,13462,20
0,14272,1
0,14390,1
0,14742,2
0,14779,1
0,17621,1
0,19262,2
0,19296,1
0,21844,1
0,25973,1
0,26085,1
0,26101,3
0,26831,1
0,27699,1
0,30890,1
0,31976,2
0,33651,1
1,158,1
1,1257,4
1,2852,2
1,3265,1402
1,3491,2
1,3561,19
1,4134,129
1,4323,1
1,4766,2
1,4812,2
1,4814,1
1,4837,3
1,6461,9
1,6478,2
1,7132,2
1,8376,2
1,9318,1
1,9416,1
1,11486,4
1,14777,9
1,14778,10
1,15169,6
1,17633,1
1,17672,1
1,17964,71
1,20773,12
1,25847,2
1,33287,1
2,47,1
2,209,32
2,1239,10
2,1312,83
2,2152,4
2,3561,5
2,4134,1
2,4181,1
2,4323,8
2,6432,4
2,6478,15
2,7018,924
2,7132,5
2,7377,79
2,8560,1
2,9506,58
2,11414,40
2,15169,15
2,16572,2
2,16912,35
2,17225,1
2,17233,8
2,19181,1
2,19918,700
2,29863,4
2,30099,4
2,33260,8
2,33651,28
3,1257,1
3,3301,1
3,4134,44
3,6478,1
3,7132,1
3,9318,3
4,4134,2
4,4323,1
4,7132,173
4,22855,28
4,31976,83
4,33651,28
5,205,1
5,1257,1
5,2152,2
5,3561,3
5,4134,29
5,6478,4
5,7132,1
5,8070,6
5,8075,5
5,9318,3
5,13867,2
6,1257,2
6,4134,13
6,4812,4
6,4837,2
6,6478,6
6,7132,2
6,8342,1
6,9318,6
6,17672,1
7,3,1
7,209,2
7,1239,7
7,1257,1
7,2152,28
7,3561,4
7,3701,3
7,6395,2
7,6478,4
7,8070,6
7,8075,3
7,8560,1
7,9156,10
7,10565,8
7,10933,2
7,12182,1
7,12222,1
7,13733,4
7,13911,1
7,15169,72
7,17210,4
7,17225,1
7,18924,48
7,19535,2
7,21844,33
7,22152,2
7,23504,1
7,30222,3
8,786,3
8,1257,1
8,2900,849
8,2914,6
8,3561,1
8,3701,4
8,4323,18
8,6478,1
8,8070,2
8,10437,3
8,15169,254
8,22152,1
8,23719,1
9,102,248
9,209,22
9,1668,25
9,2152,501
9,2914,4
9,3561,6
9,4182,23
9,5779,243
9,6318,7
9,6334,3
9,6432,11
9,7018,28
9,8070,3
9,8075,2
9,10565,1
9,10763,7
9,10794,21
9,11944,41
9,12179,2
9,12222,1
9,14780,909
9,15169,270
9,19296,2
9,20461,7
9,21945,19
9,25751,1
9,26101,312
9,29748,2
9,36088,415
0,209,1
0,701,1
0,2379,1
0,2711,1
0,3352,1
0,3495,1
0,3561,5
0,3671,15
0,4609,1
0,4766,2
0,4837,6
0,5617,130
0,6327,1
0,7132,3
0,7602,1
0,8708,1
0,9318,3
0,10091,1
0,10738,1
0,11426,2
0,11427,1
0,11955,1
0,13462,13
0,13867,1
0,14383,2
0,17964,98
0,19262,2
0,19548,2
0,20258,1
0,22927,1
0,25074,2
0,25310,1
0,27357,1
0,27696,55
0,28573,1
0,32244,1
1,3265,1353
1,3561,12
1,3786,10
1,4134,8
1,4766,1
1,4812,4
1,4837,13
1,5617,53
1,7015,5
1,8708,2
1,9768,1
1,9919,2
1,11486,4
1,14383,6
1,14777,10
1,14778,14
1,14780,1
1,15169,4
1,17147,2
1,17429,1
1,17964,100
1,20773,8
1,25074,7
1,25847,20
1,27696,749
1,32244,1
1,35315,1
2,4,1
2,16,9
2,209,2
2,1312,84
2,3561,3
2,4323,12
2,5617,82
2,6364,3
2,6478,9
2,7018,932
2,7132,3
2,7377,80
2,17964,99
2,27431,1
2,27596,2
2,27696,14
2,29863,4
2,30099,4
2,33260,4
2,33651,11
3,2152,1
3,3786,2
3,4134,6
3,4812,2
3,4837,14
3,5078,2
3,5617,1
3,14383,2
3,17897,1
3,17964,1
3,25074,1
3,27696,1
3,32244,1
4,3786,3
4,4837,1
4,7132,2
4,14383,7
4,14778,2
4,17429,1
4,17964,99
4,25074,7
4,27696,119
4,31976,83
4,32244,1
4,33651,2
5,209,2
5,2152,3
5,3356,2
5,3561,1
5,3786,1
5,4134,5
5,4837,18
5,5617,1
5,8070,5
5,8075,4
5,13867,2
5,14383,2
5,17964,1
5,25074,2
5,27696,2
6,3786,2
6,4134,6
6,4812,1
6,4837,25
6,5078,1
6,5617,1
6,14383,1
6,25074,2
6,27696,1
7,209,11
7,2152,141
7,3356,2
7,3561,61
7,3701,3
7,4134,1
7,6432,32
7,6453,6
7,7018,53
7,7105,2
7,7342,2
7,8070,2
7,8075,2
7,9156,9
7,10565,9
7,10763,4
7,11486,5
7,11509,26
7,12168,4
7,12179,31
7,12182,5
7,12222,12
7,14134,4
7,14780,32
7,14806,24
7,15169,86
7,15293,1
7,18713,2
7,18754,1
7,18924,48
7,21568,21
7,21844,36
7,22758,7
7,25751,3
7,26101,1
7,32313,1
7,32799,4
7,33419,18
7,33694,17
8,14,4
8,29,5
8,680,7
8,1668,4
8,2152,2
8,3561,2
8,3701,4
8,4513,1
8,5662,11
8,6327,3
8,6461,1
8,7065,3
8,7472,6
8,8075,2
8,9457,1
8,11078,2
8,11486,4
8,11922,8
8,13768,1539
8,13789,5
8,14492,2
8,15169,503
8,17964,36
8,22489,3
8,23719,8
8,30209,3
8,30315,2
8,32346,17
9,297,2
9,1668,11
9,2152,327
9,3356,2
9,3561,2
9,4182,18
9,5779,188
9,6432,2
9,7132,7
9,8070,5
9,8176,6
9,10565,1
9,11922,1
9,11944,66
9,12079,4
9,12179,2
9,14780,652
9,15169,52
9,26101,118
9,36088,292
0,209,1
0,701,4
0,3269,4
0,3320,1
0,3462,1
0,3561,4
0,3671,7
0,4766,2
0,4812,2
0,4837,1
0,5089,1
0,5462,1
0,6128,1
0,7021,1
0,7029,1
0,7738,1
0,8167,1
0,9304,1
0,9916,1
0,13462,14
0,13609,1
0,15833,2
0,17839,1
0,17897,1
0,19262,3
0,22909,1
0,27364,1
0,27699,3
0,29032,2
0,30776,1
0,36727,2
1,701,1
1,3265,1385
1,3462,1
1,3561,13
1,3786,12
1,4134,2
1,4766,4
1,4812,3
1,4837,4
1,6327,1
1,6461,36
1,8881,1
1,9318,2
1,9908,1
1,9916,1
1,10316,1
1,12271,1
1,13571,21
1,14265,2
1,14777,10
1,14778,8
1,14780,2
1,15169,3
1,16243,9
1,17672,2
1,17897,6
1,19262,1
1,19318,1
1,19875,1
1,25847,1
1,35315,1
2,81,1
2,1312,205
2,3561,14
2,5617,30
2,5661,3
2,6478,8
2,7018,936
2,7132,3
2,7377,197
2,9506,735
2,9916,1
2,19306,10
2,19318,1
2,27596,2
2,29863,8
2,30099,4
2,33651,12
3,3462,2
3,4766,2
3,4812,1
3,4837,1
3,8881,2
3,9916,1
3,10843,2
3,14265,2
3,17897,5
3,20718,4
3,21522,1
4,7132,3
4,9916,1
4,13571,21
4,19875,1
4,29895,18
4,31976,85
4,33651,17
4,35315,2
5,2152,2
5,3356,2
5,3561,1
5,4134,1
5,4323,2
5,4766,2
5,4837,3
5,8070,5
5,8075,5
5,8881,2
5,9916,1
5,13867,2
5,14265,2
5,17672,2
5,17897,4
5,20718,5
5,21522,2
6,3462,2
6,4134,4
6,4323,2
6,4766,2
6,4812,3
6,4837,2
6,8881,2
6,9916,1
6,14265,6
6,17672,2
6,17897,7
7,2152,1
7,3561,1
7,8070,3
7,9156,1
7,10565,1
7,15169,5
7,18924,48
7,19306,281
7,20718,4
7,21844,1
8,7132,1
8,8070,2
8,15169,4
9,3356,2
9,8070,1
9,8075,2
0,209,2
0,600,1
0,701,5
0,2856,2
0,3249,1
0,3269,2
0,3561,26
0,3671,18
0,4544,1
0,4747,1
0,4755,1
0,4808,2
0,5466,1
0,6128,1
0,6197,1
0,6432,1
0,6539,1
0,6724,1
0,6939,1
0,6993,1
0,7265,1
0,7643,1
0,7738,2
0,8167,1
0,8560,1
0,8708,1
0,9038,1
0,9121,4
