ASN,latitude,longitude
8137,34.1568,-118.325
8151,34.0522,-118.244
8163,41.8803,-87.6375
8166,44.0521,-123.087
8167,41.8769,-87.6499
8176,45.3326,-122.581
8180,61.1704,-149.88
8182,45.5051,-122.675
8188,37.7749,-122.419
8190,42.3592,-71.0931
8196,41.8531,-87.6183
8220,34.0522,-118.244
8228,43.6094,-116.311
8240,47.6584,-117.419
8246,33.6221,-84.3691
8253,43.025,-88.208
8282,39.0067,-77.4291
8304,40.7615,-73.9714
8315,29.6687,-82.4296
8321,47.6062,-122.332
8323,36.3653,-94.2176
8339,41.5857,-83.6945
8341,37.7958,-122.394
8342,45.5501,-122.877
8343,32.5444,-117.029
8346,42.9961,-89.5689
8359,40.1466,-92.3021
8362,41.8962,-87.617
8365,37.3824,-121.974
8376,36.8472,-76.175
8394,42.6494,-73.7511
8400,37.5817,-101.359
8401,42.4408,-123.326
8402,37.7743,-121.964
8404,43.6821,-72.2345
8422,40.7307,-73.9915
8434,38.9339,-77.1773
8447,28.5383,-81.3792
8452,40.7357,-74.1724
8468,33.121,-117.083
8473,38.2508,-85.7605
8509,47.6377,-122.146
8514,42.8496,-106.326
8517,21.2897,-157.836
8522,34.2204,-118.488
8529,39.1499,-94.5459
8551,37.5974,-122.38
8553,43.084,-88.3508
8560,39.5127,-115.961
8584,39.9586,-90.2049
8605,27.7981,-97.3967
8608,32.9953,-117.255
8615,35.4181,-97.4906
8638,37.4194,-121.971
8642,32.2988,-90.1848
8643,40.7108,-74.0081
8689,39.7568,-105.224
8696,34.1542,-118.823
8705,36.0872,-115.188
8708,26.7069,-80.0604
8732,47.6062,-122.332
8737,34.0522,-118.244
8751,41.6085,-87.6474
8764,41.8781,-87.6298
8820,39.9485,-75.1689
8839,40.6051,-77.7255
8866,34.6708,-118.13
8871,45.5353,-122.694
8881,36.7295,-102.513
8912,41.5618,-87.5039
8939,42.0543,-87.744
8970,42.9327,-76.5719
8972,44.0628,-121.304
8997,26.2231,-80.1448
9038,42.2808,-83.743
9044,61.6303,-149.818
9050,30.1763,-82.5708
9080,40.6225,-87.698
9095,38.7819,-89.592
9105,40.6695,-85.8242
9116,40.1525,-83.0164
9121,34.3608,-117.633
9132,34.2854,-85.1881
9141,33.4484,-112.074
9143,33.8771,-98.5483
9145,30.3769,-95.6693
9148,47.6143,-122.339
9155,25.7617,-80.1918
9156,34.0505,-118.256
9167,33.9157,-118.385
9194,42.2338,-83.7289
9218,39.7392,-104.99
9221,32.4074,-87.0211
9244,37.3382,-121.886
9269,44.9703,-93.2734
9271,41.8781,-87.6298
9277,34.0598,-118.249
9298,37.3382,-121.886
9299,36.0624,-115.221
9304,45.6133,-122.916
9305,39.7392,-104.99
9308,37.6953,-121.446
9316,37.7957,-122.399
9318,32.4965,-94.7319
9353,38.4682,-122.723
9370,37.3397,-121.923
9371,40.7128,-74.006
9381,40.7441,-73.9853
9394,33.6634,-117.864
9415,37.271,-79.9414
9416,39.7392,-104.99
9431,40.7486,-73.9487
9443,45.7112,-121.517
9452,29.4296,-98.4905
9457,33.8486,-84.314
9459,33.9038,-118.387
9471,41.4067,-75.6578
9488,35.7796,-78.6382
9498,32.7767,-96.797
9506,48.5559,-117.921
9534,44.9713,-93.2547
9551,40.7216,-73.6311
9583,46.9988,-122.831
9584,33.409,-91.0598
9600,43.0335,-88.1408
9613,40.8938,-111.902
9617,21.2915,-157.84
9625,33.9286,-83.349
9658,37.5437,-122.294
9686,41.7969,-88.2452
9694,26.6359,-80.0962
9701,39.7774,-104.968
9706,36.1036,-86.799
9708,30.3907,-97.7529
9712,40.7128,-74.006
9723,40.7357,-74.1724
9729,40.7707,-111.9
9738,37.8478,-122.287
9768,32.7157,-117.161
9800,32.444,-90.1498
9803,40.7543,-73.9998
9806,42.2809,-71.2378
9808,38.8629,-77.3354
9811,37.4223,-121.963
9812,40.2498,-76.812
9814,40.3356,-75.9269
